Symbol,Company,Sector,Sub Sector
KALPATPOWR,Kalpataru Power Transmission Limited,Power,Power - Transmission/Equipment
KAMATHOTEL,Kamat Hotels (I) Limited,Hotels,Hotels
KAMDHENU,Kamdhenu Limited,,
KANANIIND,Kanani Industries Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery
KANORICHEM,Kanoria Chemicals & Industries Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
KANSAINER,Kansai Nerolac Paints Limited,Paints,Paints/Varnishes
KARMAENG,Karma Energy Limited,Power,Power - Generation/Distribution
KARURVYSYA,Karur Vysya Bank Limited,Banks - Private,Finance - Banks - Private Sector
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Construction,Construction & Contracting - Civil
KAVVERITEL,,Telecom,Telecommunications - Equipment
KAYA,Kaya Limited,Personal Care,Indian
KCP,KCP Limited,Cement,Cement - Mini
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Sugar,Sugar - Others
KDDL,KDDL Limited,,
KEC,KEC International Limited,Power,Power - Transmission/Equipment
KECL,Kirloskar Electric Company Limited,Electric,Electric Equipment - General
KEI,KEI Industries Limited,Cables,Cables - Power/Others
KELLTONTEC,Kellton Tech Solutions Limited,Computers,Software - Medium / Small
KESARENT,,Sugar,Sugar - Integrated
KESORAMIND,Kesoram Industries Limited,Diversified,Diversified
KEYCORPSER,,Finance,Finance - General
KGL,Karuturi Global Limited,Misc,Floriculture
KHANDSE,Khandwala Securities Limited,Finance,Finance - General
KICL,Kalyani Investment Company Limited,Finance,Finance - Investments
KINGFA,Kingfa Science & Technology (India) Limited,,
KIOCL,KIOCL Limited,,
KIRIINDUS,Kiri Industries Limited,Dyes,Dyes & Pigments
KIRLOSBROS,Kirloskar Brothers Limited,Misc,Pumps
KIRLOSENG,Kirloskar Oil Engines Limited,Engines,Engines
KIRLOSIND,Kirloskar Industries Limited,Engines,Engines
KITEX,Kitex Garments Limited,Textiles,Products
KKCL,Kewal Kiran Clothing Limited,Retail,Retail - Apparel/Accessories
KMSUGAR,K.M.Sugar Mills Limited,Sugar,Sugar - Others
KNRCON,KNR Constructions Limited,Construction,Construction & Contracting - Civil
KOHINOOR,Kohinoor Foods Limited,Commodities,Commodities - Trading - Rice
KOKUYOCMLN,Kokuyo Camlin Limited,Printing,Printing/Publishing/Stationery
